80,68,osaka university,JP,Japan,L,FC,VH,4,0,81.3,67,89.1,51,55.3,272,62.7,191,28.6,498,13.2,658,26.7,486,23.4,361,58.6,0
83,93,pennsylvania state university,US,United States,XL,FC,VH,5,0,77.5,76,63.0,126,28.4,540,62.9,189,23.4,560,26.8,449,96.6,36,47.5,145,95.1,52
123,139,politecnico di milano,IT,Italy,XL,FO,VH,5,0,69.3,94,71.2,99,5.2,0,48.3,282,63.8,302,56.6,262,75.1,173,36.9,201,29.4,0
103,121,pontificia universidad católica de chile (uc),CL,Chile,L,FC,VH,5,0,92.9,38,99.5,11,20.6,654,11.6,0,16.4,645,3.5,0,56.8,270,76.3,56,91.3,0
342,295,rudn university,RU,Russia,L,FC,VH,4,0,22.4,395,45.0,192,92.2,74,2.0,0,8.2,0,92.7,103,60.1,242,12.2,0,4.4,0
41,29,seoul national university,KR,South Korea,L,FC,VH,4,0,99.0,18,98.2,17,85.1,105,64.9,175,11.5,0,14.5,631,36.9,401,100,8,73.8,181
51,46,shanghai jiao tong university,CN,China (Mainland),XL,FC,VH,4,0,83.7,61,83.3,64,54.7,279,99.4,15,39.2,415,35.5,377,38.3,390,55.5,113,44.1,0
59,60,sorbonne university,FR,France,XL,FC,VH,1,0,88.6,48,53.2,151,43.3,361,85.4,93,35.2,451,49.8,297,100.0,4,39.5,182,75.8,0
5,3,stanford university,US,United States,L,FC,VH,5,0,100.0,5,100.0,3,100.0,11,99.9,8,99.9,78,51.2,284,95.8,44,100,2,94.4,63
118,153,stockholm university,SE,Sweden,L,CO,VH,4,0,54.1,145,15.2,543,28.2,543,71.9,138,81.5,223,84.1,147,95.3,51,76.2,57,75.1,0
37,49,technical university of munich,DE,Germany,XL,FO,VH,5,0,83.9,59,98.2,19,88.8,89,59.6,210,76.5,243,97.3,71,86.7,103,25,330,84.8,0
60,40,the hong kong university of science and technology,HK,Hong Kong SAR,M,CO,VH,3,0,83.3,63,42.6,216,53.6,289,99.1,20,100.0,19,91.4,111,5.3,0,50.3,131,31,0
45,56,the london school of economics and political science (lse),UK,United Kingdom,M,SP,VH,5,0,67.7,98,96.1,32,39.6,401,80.2,110,100.0,35,100.0,10,32.4,440,98.6,16,97.8,28
89,109,the university of adelaide,AU,Australia,L,FC,VH,5,0,54.2,144,36.5,267,16.2,0,87.1,83,100.0,69,99.6,40,78.8,154,38.4,191,96.3,42
68,87,the university of auckland,NZ,New Zealand,L,FC,VH,5,0,81.6,65,40.8,231,19.3,687,61.7,198,100.0,68,91.6,108,64.4,220,94.3,28,99.6,9
22,15,the university of edinburgh,UK,United Kingdom,XL,FC,VH,5,0,98.1,25,96.9,26,72.4,176,58.7,216,98.8,100,99.9,33,99.6,12,48.1,141,99.7,6
153,163,the university of exeter,UK,United Kingdom,L,FC,VH,4,0,43.0,199,51.1,161,27.4,555,43.3,308,91.6,174,76.2,180,89.8,85,19.7,424,94.8,57
32,28,the university of manchester,UK,United Kingdom,XL,FC,VH,5,0,95.4,33,98.0,21,53.8,288,49.1,274,93.5,160,99.4,44,99.7,10,71.9,66,92.3,0
14,33,the university of melbourne,AU,Australia,XL,FC,VH,5,0,98.4,21,92.3,45,15.4,0,92.1,69,92.9,166,99.7,36,97.2,30,93.3,31,90.4,0
28,23,the university of tokyo,JP,Japan,L,FC,VH,5,0,100.0,7,99.8,9,90.4,84,70.0,148,10.3,0,29.2,427,70.0,196,99.8,11,99.7,5
67,64,the university of warwick,UK,United Kingdom,L,FC,VH,4,0,71.3,86,88.0,56,37.3,420,49.0,275,98.2,109,99.3,47,89.7,87,47.2,148,62.5,0
72,90,the university of western australia,AU,Australia,L,FC,VH,5,0,56.2,138,44.6,200,16.5,0,98.9,23,100.0,29,99.8,34,90.0,83,66,82,70.1,0
113,79,tohoku university,JP,Japan,L,FC,VH,5,0,72.4,85,84.2,61,98.5,41,29.6,436,14.2,683,13.8,647,27.6,474,17.2,486,74.8,0
25,14,tsinghua university,CN,China (Mainland),XL,FC,VH,4,0,99.1,16,96.9,27,93.9,67,98.9,22,9.4,0,15.7,603,47.8,328,82.2,47,55.8,0
9,8,ucl,UK,United Kingdom,XL,FC,VH,5,0,99.5,13,97.9,22,98.4,43,74.3,131,99.1,96,100.0,15,100.0,2,51.6,126,92.5,74
